id,name,posterURL,actors,genre,ratings,releaseYear,tmdb_id
0,Jurassic World,https://image.tmdb.org/t/p/w500/A0LZHXUzo5C60Oahvt7VxvwuzHw.jpg,Chris Pratt|Bryce Dallas Howard|Irrfan Khan|Vincent D'Onofrio|Nick Robinson,Action|Adventure|Science Fiction|Thriller,6.5,2015,135397
1,Mad Max: Fury Road,https://image.tmdb.org/t/p/w500/8tZYtuWezp8JbcsvHYO0O46tFbo.jpg,Tom Hardy|Charlize Theron|Hugh Keays-Byrne|Nicholas Hoult|Josh Helman,Action|Adventure|Science Fiction|Thriller,7.1,2015,76341
2,Insurgent,https://image.tmdb.org/t/p/w500/dP5Fb6YRfzmCQtRbHOr2kO7tJW9.jpg,Shailene Woodley|Theo James|Kate Winslet|Ansel Elgort|Miles Teller,Adventure|Science Fiction|Thriller,6.3,2015,262500
3,Star Wars: The Force Awakens,https://image.tmdb.org/t/p/w500/wqnLdwVXoBjKibFRR5U3y0aDUhs.jpg,Harrison Ford|Mark Hamill|Carrie Fisher|Adam Driver|Daisy Ridley,Action|Adventure|Science Fiction|Fantasy,7.5,2015,140607
4,Furious 7,https://image.tmdb.org/t/p/w500/ktofZ9Htrjiy0P6LEowsDaxd3Ri.jpg,Vin Diesel|Paul Walker|Jason Statham|Michelle Rodriguez|Dwayne Johnson,Action|Crime|Thriller,7.3,2015,168259
5,The Revenant,https://image.tmdb.org/t/p/w500/ji3ecJphATlVgWNY0B0RVXZizdf.jpg,Leonardo DiCaprio|Tom Hardy|Will Poulter|Domhnall Gleeson|Paul Anderson,Western|Drama|Adventure|Thriller,7.2,2015,281957
6,Terminator Genisys,https://image.tmdb.org/t/p/w500/oZRVDpNtmHk8M1VYy1aeOWUXgbC.jpg,Arnold Schwarzenegger|Jason Clarke|Emilia Clarke|Jai Courtney|J.K. Simmons,Science Fiction|Action|Thriller|Adventure,5.8,2015,87101
7,The Martian,https://image.tmdb.org/t/p/w500/5BHuvQ6p9kfc091Z8RiFNhCwL4b.jpg,Matt Damon|Jessica Chastain|Kristen Wiig|Jeff Daniels|Michael PeÃ±a,Drama|Adventure|Science Fiction,7.6,2015,286217
8,Minions,https://image.tmdb.org/t/p/w500/vlOgaxUiMOA8sPDG9n3VhQabnEi.jpg,Sandra Bullock|Jon Hamm|Michael Keaton|Allison Janney|Steve Coogan,Family|Animation|Adventure|Comedy,6.5,2015,211672
9,Inside Out,https://image.tmdb.org/t/p/w500/2H1TmgdfNtsKlU9jKdeNyYL5y8T.jpg,Amy Poehler|Phyllis Smith|Richard Kind|Bill Hader|Lewis Black,Comedy|Animation|Family,8,2015,150540
10,Spectre,https://image.tmdb.org/t/p/w500/672kUEMtTHcaVYSVY4eiHEliHFa.jpg,Daniel Craig|Christoph Waltz|LÃ©a Seydoux|Ralph Fiennes|Monica Bellucci,Action|Adventure|Crime,6.2,2015,206647
11,Jupiter Ascending,https://image.tmdb.org/t/p/w500/xzQ25m9vrdyvpLX74T3B3KB40Ou.jpg,Mila Kunis|Channing Tatum|Sean Bean|Eddie Redmayne|Douglas Booth,Science Fiction|Fantasy|Action|Adventure,5.2,2015,76757
12,Ex Machina,https://image.tmdb.org/t/p/w500/dmJW8IAKHKxFNiUnoDR7JfsK7Rp.jpg,Domhnall Gleeson|Alicia Vikander|Oscar Isaac|Sonoya Mizuno|Corey Johnson,Drama|Science Fiction,7.6,2015,264660
13,Pixels,https://image.tmdb.org/t/p/w500/rV5DzghQv6z6Yagak6ysKE77nuf.jpg,Adam Sandler|Michelle Monaghan|Peter Dinklage|Josh Gad|Kevin James,Action|Comedy|Science Fiction,5.8,2015,257344
14,Avengers: Age of Ultron,https://image.tmdb.org/t/p/w500/4ssDuvEDkSArWEdyBl2X5EHvYKU.jpg,Robert Downey Jr.|Chris Hemsworth|Mark Ruffalo|Chris Evans|Scarlett Johansson,Action|Adventure|Science Fiction,7.4,2015,99861
15,The Hateful Eight,https://image.tmdb.org/t/p/w500/jIywvdPjia2t3eKYbjVTcwBQlG8.jpg,Samuel L. Jackson|Kurt Russell|Jennifer Jason Leigh|Walton Goggins|DemiÃ¡n Bichir,Crime|Drama|Mystery|Western,7.4,2015,273248
16,Taken 3,https://image.tmdb.org/t/p/w500/vzvMXMypMq7ieDofKThsxjHj9hn.jpg,Liam Neeson|Forest Whitaker|Maggie Grace|Famke Janssen|Dougray Scott,Crime|Action|Thriller,6.1,2015,260346
17,Ant-Man,https://image.tmdb.org/t/p/w500/8YxOIPrabqkQCOKKbuxaz9IcqhO.jpg,Paul Rudd|Michael Douglas|Evangeline Lilly|Corey Stoll|Bobby Cannavale,Science Fiction|Action|Adventure,7,2015,102899
18,Cinderella,https://image.tmdb.org/t/p/w500/j91LJmcWo16CArFOoapsz84bwxb.jpg,Lily James|Cate Blanchett|Richard Madden|Helena Bonham Carter|Holliday Grainger,Romance|Fantasy|Family|Drama,6.8,2015,150689
19,The Hunger Games: Mockingjay - Part 2,https://image.tmdb.org/t/p/w500/lImKHDfExAulp16grYm8zD5eONE.jpg,Jennifer Lawrence|Josh Hutcherson|Liam Hemsworth|Woody Harrelson|Elizabeth Banks,War|Adventure|Science Fiction,6.5,2015,131634
20,Tomorrowland,https://image.tmdb.org/t/p/w500/bvJJVbFxkEHjGCteuO7Kxym20CP.jpg,Britt Robertson|George Clooney|Raffey Cassidy|Thomas Robinson|Hugh Laurie,Action|Family|Science Fiction|Adventure|Mystery,6.2,2015,158852
21,Southpaw,https://image.tmdb.org/t/p/w500/kSQ49Fi3NVTqGGXILmxV2T2pdkG.jpg,Jake Gyllenhaal|Rachel McAdams|Forest Whitaker|Oona Laurence|50 Cent,Action|Drama,7.3,2015,307081
22,San Andreas,https://image.tmdb.org/t/p/w500/2Gfjn962aaFSD6eST6QU3oLDZTo.jpg,Dwayne Johnson|Alexandra Daddario|Carla Gugino|Ioan Gruffudd|Archie Panjabi,Action|Drama|Thriller,6.1,2015,254128
23,Fifty Shades of Grey,https://image.tmdb.org/t/p/w500/63kGofUkt1Mx0SIL4XI4Z5AoSgt.jpg,Dakota Johnson|Jamie Dornan|Jennifer Ehle|Eloise Mumford|Victor Rasuk,Drama|Romance,5.3,2015,216015
24,The Big Short,https://image.tmdb.org/t/p/w500/isuQWbJPbjybBEWdcCaBUPmU0XO.jpg,Christian Bale|Steve Carell|Ryan Gosling|Brad Pitt|Melissa Leo,Comedy|Drama,7.3,2015,318846
25,Mission: Impossible - Rogue Nation,https://image.tmdb.org/t/p/w500/jwqL7croP7JMVfz0l9o7V4yJsJO.jpg,Tom Cruise|Jeremy Renner|Simon Pegg|Rebecca Ferguson|Ving Rhames,Action,7.1,2015,177677
26,Ted 2,https://image.tmdb.org/t/p/w500/qMOt0uy1x49OBW0jzodgRM9waW0.jpg,Mark Wahlberg|Seth MacFarlane|Amanda Seyfried|Jessica Barth|Giovanni Ribisi,Comedy,6.3,2015,214756
27,Kingsman: The Secret Service,https://image.tmdb.org/t/p/w500/ay7xwXn1G9fzX9TUBlkGA584rGi.jpg,Taron Egerton|Colin Firth|Samuel L. Jackson|Michael Caine|Mark Strong,Crime|Comedy|Action|Adventure,7.6,2015,207703
28,Spotlight,https://image.tmdb.org/t/p/w500/gWkgMnIsd8Od7iyhEEKL5G4Qq6J.jpg,Mark Ruffalo|Michael Keaton|Rachel McAdams|Liev Schreiber|John Slattery,Drama|Thriller|History,7.8,2015,314365
29,Maze Runner: The Scorch Trials,https://image.tmdb.org/t/p/w500/2TZJ7sZd0thhXHvkPJGoPTtM8Bq.jpg,Dylan O'Brien|Kaya Scodelario|Thomas Brodie-Sangster|Giancarlo Esposito|Aidan Gillen,Action|Science Fiction|Thriller,6.4,2015,294254
30,Mr. Holmes,https://image.tmdb.org/t/p/w500/iNnHMoj2oldH7O9uL08iGhfHzh.jpg,Ian McKellen|Milo Parker|Laura Linney|Hattie Morahan|Patrick Kennedy,Mystery|Drama,6.4,2015,280996
31,Chappie,https://image.tmdb.org/t/p/w500/hpnuXlKKWznTgbheGe4iQXzkuwJ.jpg,Sharlto Copley|Dev Patel|Ninja|Yolandi Visser|Jose Pablo Cantillo,Crime|Action|Science Fiction,6.6,2015,198184
32,Pitch Perfect 2,https://image.tmdb.org/t/p/w500/fQaEGzFmvTYu3G641WV0Tg9auAt.jpg,Anna Kendrick|Rebel Wilson|Hailee Steinfeld|Brittany Snow|Skylar Astin,Comedy|Music,6.8,2015,254470
